fase,inn_normalizado,inns_originais,nome_anvisa,tarja_atual,tarja_ia_sugerida,classificacao,motivos_auditoria,n_produtos_afetados
1,achillea millefolium l. + aconitum napellus + arnica montana + arnica montana l. + atropa belladonna + bellis perennis + calendula officinalis l. + echinacea angustifolia + echinacea angustifolia dc. + echinacea purpurea (l.) moench + hamamelis virginiana l. + hepar sulfuris + hepar sulphur + hypericum perforatum + matricaria chamomilla + matricaria chamomilla l. + mercurius solubilis + symphytum officinale,"ARNICA MONTANA L., arnica montana, CALENDULA OFFICINALIS L., HAMAMELIS VIRGINIANA L., ECHINACEA ANGUSTIFOLIA, ECHINACEA ANGUSTIFOLIA DC., ECHINACEA PURPUREA (L.) MOENCH, MATRICARIA CHAMOMILLA , MATRICARIA CHAMOMILLA L., BELLIS PERENNIS, SYMPHYTUM OFFICINALE, HYPERICUM PERFORATUM, ACHILLEA MILLEFOLIUM L., ACONITUM NAPELLUS, ATROPA BELLADONNA, Mercurius solubilis, HEPAR SULPHUR, hepar sulfuris",Motix,vermelha,Tarja vermelha sem retenção,Medicamento homeopático,"Tarja vermelha no sistema original foi alterada para 'Sem tarja' sem justificativa adequada; produtos homeopáticos com múltiplos componentes potencialmente tóxicos (Aconitum napellus, Atropa belladonna) requerem verificação regulatória rigorosa; Classificação 'Fitoterápico/Homeopático' é imprecisa; produtos homeopáticos são regulados como medicamentos homeopáticos, não fitoterápicos; Indicação para 'ambos' (adultos e crianças) é genérica demais sem especificar faixa etária segura, especialmente com componentes potencialmente tóxicos em altas dinamizações; Presença de Aconitum napellus e Atropa belladonna (plantas altamente tóxicas) requer dinamização explícita e cuidados específicos não mencionados; Falta informação sobre apresentação (gotas, glóbulos, pomada) e concentração/dinamização homeopática; Classificador sugeriu Sem tarja e auditor sugeriu Tarja vermelha sem retenção; revisão manual obrigatória.",1
1,aciclovir,"ACICLOVIR; ACICLOVIR, ACICLOVIR SÓDICO",Antivirax,vermelha,Tarja vermelha com retenção,antiviral (inibidor de DNA viral),"Tarja vermelha sem retenção está correta, mas aciclovir oral (comprimido/suspensão) é geralmente Tarja amarela; apenas formas injetáveis ou de uso hospitalar podem ser vermelhas; indicado_para restrito a 'adultos' é impreciso: aciclovir é indicado para crianças também, especialmente em infecções por HSV; como_tomar genérico demais sem apresentação/concentração confirmada; deveria ser mais cauteloso; falta menção a gestantes (aciclovir é categoria B/C conforme trimestre); Classificador sugeriu Tarja vermelha sem retenção e auditor sugeriu Tarja amarela; revisão manual obrigatória.",56
1,acido acetilsalicilico + cafeína + clorfeniramina + dipirona + salicilamida,"CAFEÍNA, DIPIRONA, ACIDO ACETILSALICILICO, MALEATO DE CLORFENIRAMINA, SALICILAMIDA",Drenogrip,,Sem tarja,Analgésico + anti-histamínico + estimulante (combinação complexa),"Combinação de 5 princípios ativos em um único produto é atípica e requer verificação de registro na ANVISA; Dipirona + ácido acetilsalicílico juntos é combinação potencialmente problemática (duplicação de analgésicos); Salicilamida é um analgésico de uso restrito/descontinuado em muitos países; status regulatório no Brasil duvidoso; Falta apresentação, concentração e via de administração específicas; Classificação farmacológica incompleta: falta mencionar dipirona e salicilamida; Indicação para 'adultos' sem especificar faixa etária mínima ou máxima; Produto 'Drenogrip' não foi encontrado em bases de dados de medicamentos brasileiros confiáveis",1
1,acido acetilsalicilico + cafeína + hidroxido alumínio + mepiramina,"HIDROXIDO DE ALUMÍNIO, ACIDO ACETILSALICILICO, MALEATO DE MEPIRAMINA, CAFEÍNA",Enjoy,vermelha,Tarja vermelha sem retenção,Analgésico + antitérmico + antiácido + anti-histamínico H1,"Tarja incorreta: produto com ácido acetilsalicílico deve ter Tarja amarela (prescrição simples), não 'Sem tarja'; Mepiramina é anti-histamínico H1 de primeira geração; sua inclusão em analgésico simples é incomum e requer verificação; Hidróxido de alumínio como antiácido em associação com AAS é controverso (pode mascarar sintomas graves); Dose inventada sem apresentação e concentração confirmadas; Afirmação sobre 'reduzir reações alérgicas leves' é imprecisa para mepiramina; Indicação 'adultos' pode ser restritiva; falta informação sobre crianças; Classificador sugeriu Sem tarja e auditor sugeriu Tarja amarela; revisão manual obrigatória.",2
1,acido láctico + alcool etílico + benzocaína + extrato da folha malva moschata + extrato malva sylvestris (malva) + fluoreto sódio + lidocaina + mentol + mentol cristal + quinosol + sacarina sódica + tirotricina,"MENTOL, MENTOL CRISTAL, TIROTRICINA, QUINOSOL, BENZOCAÍNA, CLORIDRATO DE LIDOCAINA, EXTRATO DA FOLHA DE MALVA MOSCHATA, EXTRATO DE MALVA SYLVESTRIS (MALVA), FLUORETO DE SÓDIO, ACIDO LáCTICO, SACARINA SÓDICA, ALCOOL ETÍLICO",Malvatricin,vermelha,Tarja vermelha sem retenção,"Antisséptico, anestésico tópico e antibiótico bucal","Tarja vermelha no sistema original foi alterada para 'Sem tarja' sem justificativa adequada; produto contém anestésicos locais (benzocaína, lidocaína) e tirotricina (antibiótico), indicando necessidade de prescrição; Confiança da tarja marcada como 'media' quando deveria ser 'alta' ou 'baixa' (não há meio termo aceitável para classificação regulatória); Indicado apenas para adultos, mas produto tópico bucal pode ser usado em crianças com cautela; deveria ser 'ambos'; Faltam apresentação e concentração específicas dos componentes; 'como_tomar' deveria ser genérico; Tirotricina é antibiótico tópico que reforça necessidade de tarja; presença de anestésicos locais (benzocaína + lidocaína) exige controle regulatório; Classificador sugeriu Sem tarja e auditor sugeriu Tarja vermelha sem retenção; revisão manual obrigatória.",3
1,aconitum napellus + bryonia alba + bryonia alba l. + eucaliptus globulus labill + eucalyptus globulus + eupatorium perfoliatum + eupatorium perfoliatum l. + ferrum phosphoricum,"FERRUM PHOSPHORICUM, ACONITUM NAPELLUS, BRYONIA ALBA, BRYONIA ALBA L., EUCALIPTUS GLOBULUS  Labill, EUCALYPTUS GLOBULUS , EUPATORIUM PERFOLIATUM, EUPATORIUM PERFOLIATUM L.",Infludoron,vermelha,Sem tarja,Fitoterápico homeopático,"Tarja vermelha no sistema foi alterada para 'Sem tarja' sem justificativa adequada; fitoterápicos homeopáticos podem ter diferentes classificações regulatórias; Infludoron é um produto homeopático da Weleda; a tarja deve ser verificada conforme registro na ANVISA; Indicação para 'ambos' (adultos e crianças) é genérica demais sem especificar faixa etária segura; Faltam apresentação e concentração específicas (gotas, comprimidos, diluição) para orientação precisa de uso; Afirmação sobre 'infecções respiratórias leves' pode ser imprecisa para um homeopático sem comprovação clínica robusta",1
1,aconitum napellus l. + cephaelis ipecacuanha (brot.) a. rich + mikania glomerata spreng. + myroxylon balsamum (l.) harms + nasturtium officinale r.br. + polygala senega l.,"NASTURTIUM OFFICINALE R.BR., MIKANIA GLOMERATA SPRENG., POLYGALA SENEGA L., MYROXYLON BALSAMUM (L.) HARMS, Cephaelis ipecacuanha (Brot.) A. Rich, ACONITUM NAPELLUS L.",Guacovita,vermelha,Tarja vermelha com retenção,Fitoterápico (combinação de plantas medicinais) - contém Aconitum napellus (alcaloide tóxico),"Tarja vermelha no sistema original foi alterada para 'Sem tarja' sem justificativa adequada; Aconitum napellus é tóxico e requer controle; Aconitum napellus é alcaloide tóxico e exige tarja vermelha com retenção conforme RDC 67/2015; Indicação para crianças menores de 2 anos é inadequada para fitoterápico com Aconitum napellus; Confiança média em tarja contradiz a gravidade da toxicidade do Aconitum napellus; Falta informação sobre apresentação, concentração e via de administração; Classificador sugeriu Sem tarja e auditor sugeriu Tarja vermelha com retenção; revisão manual obrigatória.",1
1,acriflavina + beladona pó + cloreto metiltionínio + metenamina,"CLORIDRATO DE ACRIFLAVINA, METENAMINA, CLORETO DE METILTIONÍNIO, BELADONA PÓ",Cystex,vermelha,Tarja vermelha sem retenção,"Antisséptico urinário — combinação de agentes antimicrobianos (acriflavina, cloreto metiltionínio, metenamina) com antiespasmódico (beladona)","Tarja vermelha é inadequada para este medicamento — Cystex é um antisséptico urinário de venda livre ou com prescrição simples, não controlado; Beladona é alcaloide com propriedades anticolinérgicas e requer cautela; a presença dela não justifica tarja vermelha sem contexto de controle; Indicação para 'inflamação e infecção urinária leve' é genérica demais — o medicamento é sintomático (dor, ardor, desconforto), não antibiótico; Faltam apresentação e concentração dos componentes — 'como_tomar' ficou genérico, mas poderia ser mais específico se houvesse dados; Beladona em formulações urinárias é rara em produtos modernos; necessário validar se Cystex realmente contém este componente; Classificador sugeriu Tarja vermelha sem retenção e auditor sugeriu Sem tarja; revisão manual obrigatória.",1
1,actaea racemosa l.,ACTAEA RACEMOSA L.,Clifemin,vermelha,Sem tarja,Fitoterápico — regulador de sintomas climatéricos,"Tarja classificada como 'Sem tarja' contradiz informação de entrada que indica 'vermelha'; Enum 'indicado_para' recebeu valor 'mulheres em menopausa' fora das opções permitidas (adultos, crianças, ambos ou gestantes com cautela); Falta apresentação e concentração do produto — 'como_tomar' deveria ser genérico; Confiança alta em tarja 'Sem tarja' é inadequada dado o conflito com dados de entrada; Actaea racemosa é fitoterápico e geralmente não recebe tarja vermelha; necessário verificar se há restrição regulatória específica no Brasil",2
1,adapaleno,ADAPALENO,Differin,vermelha,Tarja vermelha sem retenção,retinóide tópico (derivado de ácido retinóico),"Adapaleno tópico (gel/creme) não possui tarja vermelha; é medicamento de venda livre ou com prescrição simples (tarja amarela); A classificação 'Tarja vermelha sem retenção' é incorreta para apresentação tópica; Indicação restrita a 'adultos' é imprecisa; adapaleno tópico é aprovado também para adolescentes (a partir de 12 anos em algumas apresentações); Falta informação sobre apresentação e concentração na resposta candidata, mas 'como_tomar' foi genérico adequadamente; Classificador sugeriu Tarja vermelha sem retenção e auditor sugeriu Sem tarja; revisão manual obrigatória.",6
1,adapaleno + clindamicina,"ADAPALENO, FOSFATO DE CLINDAMICINA",Adacne Clin,vermelha,Tarja vermelha sem retenção,Retinóide + antibiótico tópico,"Tarja vermelha sem retenção é incorreta para produto tópico com clindamicina; adapaleno tópico + clindamicina é Sem tarja ou Tarja amarela conforme apresentação; Indicação restrita a 'adultos' é imprecisa; adapaleno tópico é aprovado a partir de 12 anos; clindamicina tópica também é usada em adolescentes; Afirmação sobre gravidez é genérica demais; adapaleno é Categoria C (evitar) e clindamicina tópica tem risco baixo, mas a combinação requer cautela específica; Frequência 'uma vez ao dia à noite' é genérica sem apresentação/concentração confirmada; Classificador sugeriu Tarja vermelha sem retenção e auditor sugeriu Sem tarja; revisão manual obrigatória.",1
1,adapaleno + peróxido benzoíla,"ADAPALENO, PERÓXIDO DE BENZOÍLA; ADAPALENO;PERÓXIDO DE BENZOÍLA",Epiduo,vermelha,Tarja vermelha sem retenção,Retinóide + peróxido (agente queratolítico e antimicrobiano tópico),"Tarja incorreta: Epiduo é medicamento tópico de uso dermatológico que requer prescrição médica, classificado como Tarja amarela (prescrição simples), não 'Sem tarja'; Indicado_para incorreto: produto é para uso em adultos e adolescentes (acima de 12 anos), não recomendado para crianças pequenas; gestantes requerem cautela especial; Falta apresentação e concentração na resposta (gel, creme, loção e percentuais de adapaleno e peróxido de benzoíla); Classificador sugeriu Sem tarja e auditor sugeriu Tarja amarela; revisão manual obrigatória.",5
1,adifenina + dipirona + dipirona monoidratada + prometazina,"DIPIRONA, dipirona monoidratada, CLORIDRATO DE ADIFENINA, CLORIDRATO DE PROMETAZINA",Doriless,,Tarja vermelha sem retenção,Antiespasmódico + Analgésico + Anti-histamínico,"Dipirona duplicada na entrada (dipirona + dipirona monoidratada) - mesma substância em formas diferentes, deve constar uma única vez; Tarja vermelha sem retenção é inadequada: dipirona é Tarja amarela (prescrição simples) e prometazina também é Tarja amarela; adifenina é Tarja vermelha sem retenção, mas a combinação segue a substância mais restritiva; Falta apresentação, concentração e via de administração - essencial para validar posologia; Indicação para 'adultos' é genérica demais sem faixa etária específica; Cuidado sobre sonolência é válido (prometazina), mas faltam cuidados críticos sobre hepatotoxicidade (dipirona) e contraindicações em discrasias sanguíneas",2
1,adifenina + dipirona + prometazina,"CLORIDRATO DE PROMETAZINA;DIPIRONA;CLORIDRATO DE ADIFENINA; DIPIRONA, CLORIDRATO DE PROMETAZINA, CLORIDRATO DE ADIFENINA",Lisador,,Tarja amarela,Analgésico + Antipirético + Anti-histamínico,"Tarja incorreta: dipirona isolada é Tarja amarela (prescrição simples); a combinação com adifenina e prometazina não justifica Tarja vermelha sem retenção; Adifenina foi descontinuada no Brasil há anos; produto pode estar descontinuado ou reformulado; Prometazina em combinação analgésica não é indicação aprovada; risco de confundir com anti-histamínico isolado; Afirmação sobre 'potenciar efeito' da prometazina em dor não é fundamentada em bula padrão; Faltam apresentação, concentração e via exata; 'como_tomar' deve ser genérico; Indicado apenas para adultos não está claramente justificado na bula fornecida; Classificador sugeriu Tarja vermelha sem retenção e auditor sugeriu Tarja amarela; revisão manual obrigatória.",5
1,adifenina + dipirona monoidratada + prometazina,DIPIRONA MONOIDRATADA;CLORIDRATO DE PROMETAZINA;CLORIDRATO DE ADIFENINA,DORILESS,,Tarja vermelha com retenção,Antiespasmódico + analgésico + anti-histamínico,"Adifenina é controlada (Tarja vermelha com retenção), não sem retenção; Dipirona é proibida em vários países; no Brasil, é de venda livre (Sem tarja); Prometazina é Tarja vermelha sem retenção; A combinação resulta em Tarja vermelha COM retenção (princípio ativo mais restritivo prevalece); Indicação para 'adultos' é incompleta: crianças >2 anos podem usar sob supervisão; Faltam apresentação e concentração para validar 'como_tomar'; Classificador sugeriu Tarja vermelha sem retenção e auditor sugeriu Tarja vermelha com retenção; revisão manual obrigatória.",3
1,agnus castus + conium maculatum + nuphar luteum + onosmodium virginianum,"AGNUS CASTUS, CONIUM MACULATUM, NUPHAR LUTEUM, ONOSMODIUM VIRGINIanum",Forteviron,vermelha,Tarja vermelha sem retenção,Medicamento homeopático,Tarja vermelha no sistema foi alterada para 'Sem tarja' sem justificativa farmacêutica clara; Produto homeopático com conium maculatum (cicuta venenosa) requer cautela regulatória maior; Confiança alta em tarja declarada é inconsistente com mudança radical de classificação; Indicação restrita a 'adultos' não é adequada para produto homeopático sem contraindicações explícitas; Falta informação sobre apresentação e concentração para orientar 'como_tomar' adequadamente; Classificador sugeriu Sem tarja e auditor sugeriu Tarja vermelha sem retenção; revisão manual obrigatória.,2
1,albendazol,ALBENDAZOL,Parasin,vermelha,Tarja vermelha com retenção,anti-helmíntico (antiparasitário),"Tarja vermelha sem retenção é incorreta para albendazol; a classificação correta é Sem tarja ou Tarja amarela conforme apresentação e concentração; Albendazol não é controlado como medicamento de tarja vermelha na maioria das apresentações comerciais; Campo 'indicado_para' com valor 'ambos' é vago; deveria especificar 'crianças' ou 'adultos e crianças' conforme a bula; Cuidado sobre gravidez está correto, mas falta menção a monitoramento hepático durante tratamento prolongado; Como_tomar é genérico demais; faltam apresentação e concentração para orientação específica; Classificador sugeriu Tarja vermelha sem retenção e auditor sugeriu Sem tarja; revisão manual obrigatória.",24
1,albumina humana,ALBUMINA HUMANA,Albumina Humana Grifols,,Tarja vermelha com retenção,Hemoderivado — expansor de volume plasmático,"Albumina humana é hemoderivado e deve ter Tarja vermelha com retenção, não 'Sem tarja'; Indicado_para restrito a 'adultos' é impreciso; albumina é usada também em crianças e neonatos conforme indicação clínica; Campo 'como_tomar' adequado para via IV, mas falta menção explícita de que é medicamento de uso hospitalar exclusivo; Classificador sugeriu Sem tarja e auditor sugeriu Tarja vermelha com retenção; revisão manual obrigatória.",1
1,alendronato sódio,alendronato de sódio; ALENDRONATO DE SÓDIO,Alendronato De Sodio,vermelha,Tarja vermelha sem retenção,Bisfosfonato,"Tarja vermelha sem retenção é incorreta para alendronato sódio; o correto é Tarja amarela (prescrição simples); Apresentação e concentração não informadas na entrada, mas 'como_tomar' especifica detalhes de posologia (uma vez por semana) sem base nos dados fornecidos; Água filtrada é especificação desnecessária e não padrão em bulas; deve ser apenas água; Indicado_para deveria ser 'ambos' pois alendronato também é usado em homens com osteoporose, não apenas adultos genéricos; Classificador sugeriu Tarja vermelha sem retenção e auditor sugeriu Tarja amarela; revisão manual obrigatória.",2
1,alendronato sódio + alendronato trihidratado,"ALENDRONATO SÓDICO TRIHIDRATADO, alendronato de sódio",Endrostan,vermelha,Tarja vermelha com retenção,Bisfosfonato (agente regulador do metabolismo ósseo),"Princípio ativo duplicado na entrada: 'alendronato sódio + alendronato trihidratado' é redundante (mesma molécula em formas diferentes); resposta corrigiu para apenas 'alendronato sódio'; Tarja vermelha sem retenção é correta para bisfosfonatos, mas a confiança deve ser 'media' pois alendronato é tipicamente Tarja amarela (prescrição simples) em muitos países; a classificação como 'vermelha' requer verificação regulatória específica da ANVISA; Indicação para 'adultos' está correta, mas faltou mencionar explicitamente que é contraindicado em gestantes e crianças; Faltam informações sobre apresentação e concentração (não fornecidas na entrada), o que limita a precisão do 'como_tomar'; Cuidados adequados, mas faltou mencionar risco de osteonecrose de mandíbula (efeito adverso importante de bisfosfonatos); Classificador sugeriu Tarja vermelha sem retenção e auditor sugeriu Tarja amarela; revisão manual obrigatória.",1
1,alendronato sódio tri-hidratado,alendronato de sódio tri-hidratado; ALENDRONATO DE SÓDIO TRI-HIDRATADO,Bonagran,vermelha,Tarja vermelha com retenção,Bisfosfonato (agente anti-reabsortivo ósseo),"Tarja vermelha é inadequada para alendronato: este é um bisfosfonato oral de uso crônico em osteoporose, classificado como Tarja amarela (prescrição simples) ou Sem tarja, dependendo da apresentação e concentração; A resposta confundiu a tarja do sistema (vermelha, possivelmente referente a outro medicamento ou erro anterior) com a classificação correta do princípio ativo; Alendronato sódio não é controlado como medicamento de tarja vermelha na maioria das regulações; é prescrição simples; Classificador sugeriu Tarja vermelha sem retenção e auditor sugeriu Sem tarja; revisão manual obrigatória.",6
1,alendronato sódio tri-hidratado + carbonato cálcio + colecalciferol,CARBONATO DE CÁLCIO;ALENDRONATO DE SÓDIO TRI-HIDRATADO;COLECALCIFEROL,ALENDIL CÁLCIO D,vermelha,Tarja vermelha com retenção,Bifosfonato + suplemento mineral + vitamina D,"Tarja vermelha sem retenção é incorreta para bifosfonatos orais; alendronato é Tarja amarela (prescrição simples); Confiança na tarja marcada como 'alta' contradiz a classificação real do medicamento; Indicação restrita a 'adultos' é imprecisa; deve ser 'adultos' mas com ressalva de que não é para crianças/gestantes; Falta menção a contraindicações importantes: hipocalcemia, insuficiência renal, gravidez/lactação; Instrução sobre 'água filtrada' é desnecessária; água comum é adequada; Classificador sugeriu Tarja vermelha sem retenção e auditor sugeriu Tarja amarela; revisão manual obrigatória.",1
1,alendronato trihidratado,ALENDRONATO SÓDICO TRIHIDRATADO,ALENDIL,vermelha,Tarja vermelha com retenção,Bisfosfonato (agente regulador do metabolismo ósseo),"Tarja vermelha sem retenção é incorreta para alendronato; o correto é Tarja vermelha com retenção (medicamento controlado que exige receita retida); Indicação restrita a 'adultos' é imprecisa; alendronato é contraindicado em menores de 18 anos e em gestantes, mas a classificação deveria ser 'ambos' (adultos e idosos) ou especificar melhor; Falta informação sobre apresentação e concentração (ex: 70 mg comprimido), o que compromete a precisão de 'como_tomar'; INN identificado como 'alendronato' está correto, mas o produto contém 'alendronato trihidratado' (sal específico); Classificador sugeriu Tarja vermelha sem retenção e auditor sugeriu Tarja vermelha com retenção; revisão manual obrigatória.",1
1,alfaepoetina,ALFAEPOETINA,HEMAX ERITRON,vermelha,Tarja vermelha com retenção,Agente estimulador de eritropoiese (eritropoietina recombinante humana),"Tarja vermelha sem retenção é incorreta; alfaepoetina é Tarja vermelha COM retenção (medicamento de controle especial); INN 'alfaepoetina' é genérico impreciso; o correto é 'epoetina alfa' ou 'epoetina beta' conforme apresentação; Indicação para 'adultos' é restritiva; epoetinas são usadas também em crianças com anemia renal crônica; Faltam apresentação (solução injetável), concentração (UI/mL) e volume; 'como_tomar' deveria ser genérico; Classificador sugeriu Tarja vermelha sem retenção e auditor sugeriu Tarja vermelha com retenção; revisão manual obrigatória.",3
1,alfaestradiol,ALFAESTRADIOL,AVICIS,,Tarja amarela,hormônio estrogênico de uso tópico,"Alfaestradiol é um hormônio estrogênico de uso tópico; a classificação de tarja vermelha sem retenção é inadequada para medicamento hormonal sistêmico ou com absorção significativa; Campo 'indicado_para' contém valor fora do enum exigido ('mulheres' não é uma opção válida; deve ser 'adultos', 'crianças', 'ambos' ou 'gestantes com cautela'); Tarja vermelha sem retenção é típica de antibióticos e antiinflamatórios; hormônios estrogênicos costumam ser Tarja amarela ou Tarja vermelha com retenção; Confiança média em tarja é insuficiente para medicamento hormonal; deve ser alta ou baixa com justificativa clara; Classificador sugeriu Tarja vermelha sem retenção e auditor sugeriu Tarja amarela; revisão manual obrigatória.",5
1,algestona acetofenida + enantato estradiol,"ALGESTONA ACETOFENIDA, ENANTATO DE ESTRADIOL; ENANTATO DE ESTRADIOL;ALGESTONA ACETOFENIDA",Pregnolan,vermelha,Tarja vermelha com retenção,contraceptivo hormonal injetável (progestágeno + estrogênio),"Tarja classificada como 'Tarja vermelha sem retenção', mas contraceptivos hormonais injetáveis são tipicamente Tarja amarela (prescrição simples) ou Tarja vermelha com retenção, dependendo da regulação vigente; Campo 'indicado_para' restrito a 'adultos', mas contraceptivos hormonais podem ser indicados para adolescentes; deveria ser 'ambos'; Indicação secundária para 'deficiências de hormônios' é imprecisa; o medicamento é contraceptivo, não reposição hormonal para deficiência; Classificador sugeriu Tarja vermelha sem retenção e auditor sugeriu Tarja vermelha com retenção; revisão manual obrigatória.",17
1,alopurinol,ALOPURINOL,Zyloric,vermelha,Tarja vermelha sem retenção,Inibidor da xantina oxidase,"Tarja vermelha é incorreta para alopurinol; o medicamento é de venda livre (Sem tarja) ou sob prescrição simples (Tarja amarela), não controlado; Classificação farmacológica parcialmente imprecisa: alopurinol é inibidor da xantina oxidase, não uricosúrico (reduz síntese, não aumenta excreção); Faltam apresentação e concentração para orientação de 'como_tomar' específica; Indicação restrita apenas a adultos é incompleta; alopurinol é usado também em crianças com hiperuricemia; Classificador sugeriu Tarja vermelha sem retenção e auditor sugeriu Sem tarja; revisão manual obrigatória.",7
1,aloína,ALOÍNA,PÍLULAS DE ERVA DE BICHO COMPOSTAS IMESCARD,,Tarja amarela,Fitoterápico laxante (antraquinona natural),"Aloína é antraquinona com potencial hepatotóxico e nefrotóxico; regulação brasileira restringe seu uso; Produto 'Pílulas de Erva de Bicho Compostas' é formulação complexa; aloína pode ser apenas um componente, não o único INN; Tarja 'Sem tarja' é inadequada para antraquinonas laxantes; muitos produtos com aloína recebem Tarja Amarela ou restrição; Confiança média em tarja contradiz a necessidade de revisão regulatória específica; Faltam dados de apresentação, concentração e composição completa da formulação; Indicação restrita a 'adultos' sem menção a contraindicações em gestantes e lactantes; Classificador sugeriu Sem tarja e auditor sugeriu Tarja amarela; revisão manual obrigatória.",4
1,alprazolam,ALPRAZOLAM,TRANQUINAL,vermelha,Tarja vermelha com retenção,benzodiazepínico,"Tarja incorreta: alprazolam é benzodiazepínico controlado e deve ter 'Tarja vermelha com retenção', não 'Tarja preta'; Indicação de 'crises de pânico' não está mencionada na informação original fornecida — extrapolação não justificada; Campo 'indicado_para' restrito a 'adultos' é correto, mas falta menção a contraindicações em gestantes (categoria X/D); Classificador sugeriu Tarja preta e auditor sugeriu Tarja vermelha com retenção; revisão manual obrigatória.",15
1,ambra grisea + cocculus indicus + conium maculatum + petroleum,"Cocculus indicus, CONIUM MACULATUM, AMBRA GRISEA, Petroleum",Vertigoheel,,Sem tarja,Medicamento homeopático,"Produto homeopático com composição de substâncias em potências homeopáticas, não em concentrações farmacêuticas convencionais; INN listados são nomes de substâncias homeopáticas, não princípios ativos farmacêuticos tradicionais; Conium maculatum é tóxico em forma bruta; em homeopatia usa-se em potências diluídas; Falta informação sobre apresentação (gotas, comprimidos, glóbulos) e potência homeopática; Classificação como 'fitoterápico/homeopático' é imprecisa; Vertigoheel é exclusivamente homeopático; Indicação restrita a 'adultos' sem confirmação de segurança em crianças; Falta menção a que se trata de medicamento homeopático registrado na ANVISA",1
